"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2009,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg",4,"4","4-Zimmer","2-4",11958,1315000,5230000
2009,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9",1,"1","1-Zimmer","3",8030,240890,838250
2009,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9",2,"2","2-Zimmer","5",7937,460000,2210000
2009,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9",3,"3","3-Zimmer","7",7836,670000,4431000
2009,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9",4,"4","4-Zimmer","7",6040,610000,4560000
2009,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9",5,"5","5-Zimmer","6",5876,607500,3587000
2009,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",91,"091","Albisrieden",1,"1","1-Zimmer","1–3",8615,235450,K
2009,"D",1,"22","Kauf",1,"J","Ja",91,"091","Albisrieden",2,"2","2-Zimmer","5",7937,460000,2210000
2009,"D",1,"22","Kauf",1,"J","Ja",91,"091","Albisrieden",3,"3","3-Zimmer","4–6",9667,725000,3321000
2009,"D",1,"22","Kauf",1,"J","Ja",91,"091","Albisrieden",4,"4","4-Zimmer","4–6",8010,785000,3730000
2009,"D",1,"22","Kauf",1,"J","Ja",91,"091","Albisrieden",5,"5","5-Zimmer","6",5876,607500,3587000
2009,"D",1,"22","Kauf",1,"J","Ja",91,"091","Albisrieden",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",92,"092","Altstetten",1,"1","1-Zimmer","1–3",7347,367360,K
2009,"D",1,"22","Kauf",1,"J","Ja",92,"092","Altstetten",2,"2","2-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",92,"092","Altstetten",3,"3","3-Zimmer","1–3",6174,555000,K
2009,"D",1,"22","Kauf",1,"J","Ja",92,"092","Altstetten",4,"4","4-Zimmer","1–3",4109,415000,K
2009,"D",1,"22","Kauf",1,"J","Ja",92,"092","Altstetten",5,"5","5-Zimmer","0",,,
